Date,Open,High,Low,Close,Adj Close,Volume
2018-10-11,1608.439941,1608.439941,1608.439941,1608.439941,1608.439941,0
2018-10-12,1608.439941,1608.439941,1608.439941,1608.439941,1608.439941,0
2018-10-15,1608.439941,1608.439941,1608.439941,1608.439941,1608.439941,0
2018-10-16,1608.439941,1608.439941,1608.439941,1608.439941,1608.439941,0
2018-10-17,1608.439941,1608.439941,1608.439941,1608.439941,1608.439941,0
2018-10-18,1608.439941,1608.439941,1608.439941,1608.439941,1608.439941,0
2018-10-19,1608.439941,1608.439941,1608.439941,1608.439941,1608.439941,0
2018-10-22,1608.439941,1608.439941,1608.439941,1608.439941,1608.439941,0
2018-10-23,1608.439941,1608.439941,1608.439941,1608.439941,1608.439941,0
2018-10-24,1608.439941,1608.439941,1608.439941,1608.439941,1608.439941,0
2018-10-25,1608.439941,1608.439941,1608.439941,1608.439941,1608.439941,0
2018-10-26,1608.439941,1608.439941,1608.439941,1608.439941,1608.439941,0
2018-10-29,1608.439941,1608.439941,1608.439941,1608.439941,1608.439941,0
2018-10-30,1608.439941,1608.439941,1608.439941,1608.439941,1608.439941,0
2018-10-31,1608.439941,1608.439941,1608.439941,1608.439941,1608.439941,0
2018-11-01,1608.439941,1608.439941,1608.439941,1608.439941,1608.439941,0
2018-11-05,1608.439941,1608.439941,1608.439941,1608.439941,1608.439941,0
2018-11-06,1608.439941,1608.439941,1608.439941,1608.439941,1608.439941,0
2018-11-07,1608.439941,1608.439941,1608.439941,1608.439941,1608.439941,0
2018-11-08,1608.439941,1608.439941,1608.439941,1608.439941,1608.439941,0
2018-11-09,1608.439941,1608.439941,1608.439941,1608.439941,1608.439941,0
2018-11-12,1608.439941,1608.439941,1608.439941,1608.439941,1608.439941,0
2018-11-13,1608.439941,1608.439941,1608.439941,1608.439941,1608.439941,0
2018-11-14,1608.439941,1608.439941,1608.439941,1608.439941,1608.439941,0
2018-11-15,1608.439941,1608.439941,1608.439941,1608.439941,1608.439941,0
2018-11-16,1608.439941,1608.439941,1608.439941,1608.439941,1608.439941,0
2018-11-20,1608.439941,1608.439941,1608.439941,1608.439941,1608.439941,0
2018-11-21,1608.439941,1608.439941,1608.439941,1608.439941,1608.439941,0
2018-11-22,1608.439941,1608.439941,1608.439941,1608.439941,1608.439941,0
2018-11-23,1608.439941,1608.439941,1608.439941,1608.439941,1608.439941,0
2018-11-26,1608.439941,1608.439941,1608.439941,1608.439941,1608.439941,0
2018-11-27,1608.439941,1608.439941,1608.439941,1608.439941,1608.439941,0
2018-11-28,1608.439941,1608.439941,1608.439941,1608.439941,1608.439941,0
2018-11-29,1608.439941,1608.439941,1608.439941,1608.439941,1608.439941,0
2018-11-30,1608.439941,1608.439941,1608.439941,1608.439941,1608.439941,0
2018-12-03,1608.439941,1608.439941,1608.439941,1608.439941,1608.439941,0
2018-12-04,1608.439941,1608.439941,1608.439941,1608.439941,1608.439941,0
2018-12-05,1608.439941,1608.439941,1608.439941,1608.439941,1608.439941,0
2018-12-06,1608.439941,1608.439941,1608.439941,1608.439941,1608.439941,0
2018-12-07,1608.439941,1608.439941,1608.439941,1608.439941,1608.439941,0
2018-12-10,1608.439941,1608.439941,1608.439941,1608.439941,1608.439941,0
2018-12-11,1608.439941,1608.439941,1608.439941,1608.439941,1608.439941,0
2018-12-13,1608.439941,1608.439941,1608.439941,1608.439941,1608.439941,0
2018-12-14,1608.439941,1608.439941,1608.439941,1608.439941,1608.439941,0
2018-12-17,1608.439941,1608.439941,1608.439941,1608.439941,1608.439941,0
2018-12-18,1608.439941,1608.439941,1608.439941,1608.439941,1608.439941,0
2018-12-19,1608.439941,1608.439941,1608.439941,1608.439941,1608.439941,0
2018-12-20,1608.439941,1608.439941,1608.439941,1608.439941,1608.439941,0
2018-12-21,1608.439941,1608.439941,1608.439941,1608.439941,1608.439941,0
2018-12-24,1608.439941,1608.439941,1608.439941,1608.439941,1608.439941,0
2018-12-26,1608.439941,1608.439941,1608.439941,1608.439941,1608.439941,0
2018-12-27,1608.439941,1608.439941,1608.439941,1608.439941,1608.439941,0
2018-12-28,1608.439941,1608.439941,1608.439941,1608.439941,1608.439941,0
2018-12-31,1608.439941,1608.439941,1608.439941,1608.439941,1608.439941,0
2019-01-02,1608.439941,1608.439941,1608.439941,1608.439941,1608.439941,0
2019-01-03,1608.439941,1608.439941,1608.439941,1608.439941,1608.439941,0
2019-01-04,1608.439941,1608.439941,1608.439941,1608.439941,1608.439941,0
2019-01-07,1608.439941,1608.439941,1608.439941,1608.439941,1608.439941,0
2019-01-08,1608.439941,1608.439941,1608.439941,1608.439941,1608.439941,0
2019-01-09,1608.439941,1608.439941,1608.439941,1608.439941,1608.439941,0
2019-01-10,1608.439941,1608.439941,1608.439941,1608.439941,1608.439941,0
2019-01-11,1608.439941,1608.439941,1608.439941,1608.439941,1608.439941,0
2019-01-14,1608.439941,1608.439941,1608.439941,1608.439941,1608.439941,0
2019-01-15,1608.439941,1608.439941,1608.439941,1608.439941,1608.439941,0
2019-01-16,1608.439941,1608.439941,1608.439941,1608.439941,1608.439941,0
2019-01-17,1608.439941,1608.439941,1608.439941,1608.439941,1608.439941,0
2019-01-18,1608.439941,1608.439941,1608.439941,1608.439941,1608.439941,0
2019-01-21,1608.439941,1608.439941,1608.439941,1608.439941,1608.439941,0
2019-01-22,1608.439941,1608.439941,1608.439941,1608.439941,1608.439941,0
2019-01-23,1608.439941,1608.439941,1608.439941,1608.439941,1608.439941,0
2019-01-24,1608.439941,1608.439941,1608.439941,1608.439941,1608.439941,0
2019-01-25,1608.439941,1608.439941,1608.439941,1608.439941,1608.439941,0
2019-01-28,1608.439941,1608.439941,1608.439941,1608.439941,1608.439941,0
2019-01-29,1608.439941,1608.439941,1608.439941,1608.439941,1608.439941,0
2019-01-30,1608.439941,1608.439941,1608.439941,1608.439941,1608.439941,0
2019-01-31,1608.439941,1608.439941,1608.439941,1608.439941,1608.439941,0
2019-02-01,1608.439941,1608.439941,1608.439941,1608.439941,1608.439941,0
